"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","HTTP","",""
"pre_128cipher","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","No 128 cipher limit bug","",""
"SSLv2","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","not offered","",""
"SSLv3","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","not offered","",""
"TLS1","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","LOW","offered (deprecated)","",""
"TLS1_1","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","LOW","offered (deprecated)","",""
"TLS1_2","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","offered","",""
"TLS1_3","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","offered with final","",""
"ALPN_HTTP2","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","h2","",""
"ALPN","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","http/1.1","",""
"cipherlist_NULL","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","not offered","","CWE-327"
"cipherlist_LOW","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","offered","",""
"cipherlist_STRONG_FS","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","offered","",""
"cipher_order-tls1","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","server","",""
"cipherorder_TLSv1","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","server","",""
"cipherorder_TLSv1_1","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","server","",""
"cipherorder_TLSv1_2","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","server -- TLS 1.3 client determined","",""
"FS","v2.labase.incubateur.anct.gouv.fr/51.159.9.204","443","OK","offered","",""
